Timestamp,Where are you from? (please be specific),Where do you live now? (please be specific),Which temperature scale do you use?,What is the lowest temperature outside that you are comfortable at?,What is the highest temperature outside that you are comfortable at?,"If it could always be the same temperature outside, what would you want it to be?",lowF,highF,optimumF,lowC,highC,optimumC,rangeF,opt01,koppen_codes,data_mistake,user_typo,dup
12/14/2018 22:36:54,USA,"USA, Southeast",Fahrenheit,20,95,60,20,95,60,-6.666666667,35,15.55555556,75,0.5333333333,,,,
12/14/2018 22:37:33,US (Maryland),US (TX),Fahrenheit,30,100,60,30,100,60,-1.111111111,37.77777778,15.55555556,70,0.4285714286,,,,
12/14/2018 22:39:17,Ireland,Ireland,Celsius,2,25,22,35.6,77,71.6,2,25,22,41.4,0.8695652174,,,,
12/14/2018 22:40:08,New Hampshire USA,New Hampshire USA,Fahrenheit,50,95,80,50,95,80,10,35,26.66666667,45,0.6666666667,,,,
12/14/2018 22:41:20,Oregon,Utah,Fahrenheit,40,88,65,40,88,65,4.444444444,31.11111111,18.33333333,48,0.5208333333,,,,
12/14/2018 22:42:38,Massachusetts,Massachusetts,Fahrenheit,45,80,68,45,80,68,7.222222222,26.66666667,20,35,0.6571428571,,,,
12/14/2018 22:44:03,France,France,Celsius,10,26,24,50,78.8,75.2,10,26,24,28.8,0.875,,,,
12/14/2018 22:44:13,Norway,Norway,Celsius,12,25,20,53.6,77,68,12,25,20,23.4,0.6153846154,,,,
12/14/2018 22:44:39,New-Brunswick Canada,New-Brunswick,Celsius,-20,30,28,-4,86,82.4,-20,30,28,90,0.96,,,,
12/14/2018 22:46:33,"Palo Alto, California, US","Palo Alto, California, US",Fahrenheit,20,105,75,20,105,75,-6.666666667,40.55555556,23.88888889,85,0.6470588235,,,,
12/14/2018 22:47:04,Texas,Massachusetts,Fahrenheit,45,85,73,45,85,73,7.222222222,29.44444444,22.77777778,40,0.7,,,,
12/14/2018 22:47:19,The Netherlands,The Netherlands,Celsius,8,27,19,46.4,80.6,66.2,8,27,19,34.2,0.5789473684,,,,
12/14/2018 22:48:07,"Seattle, WA","Seattle, WA",Fahrenheit,48,80,70,48,80,70,8.888888889,26.66666667,21.11111111,32,0.6875,,,,
12/14/2018 22:48:28,Czech Republic,Boston,Celsius,0,30,25,32,86,77,0,30,25,54,0.8333333333,,,,
12/14/2018 22:48:44,"Ontario, Canada","Ontario, Canada",Celsius,12,20,17,53.6,68,62.6,12,20,17,14.4,0.625,,,,
12/14/2018 22:48:47,Scotland,Scotland,Celsius,2,11,6,35.6,51.8,42.8,2,11,6,16.2,0.4444444444,,,,
12/14/2018 22:49:26,Australia,Australia,Celsius,0,30,15,32,86,59,0,30,15,54,0.5,,,,
12/14/2018 22:50:25,Belgium,Belgium,Celsius,10,27,22,50,80.6,71.6,10,27,22,30.6,0.7058823529,,,,
12/14/2018 22:50:45,Minneapolis ,Cleveland ,Fahrenheit,40,55,50,40,55,50,4.444444444,12.77777778,10,15,0.6666666667,,,,
12/14/2018 22:50:49,Baltimore,San Diego,Fahrenheit,10,90,72,10,90,72,-12.22222222,32.22222222,22.22222222,80,0.775,,,,
12/14/2018 22:51:19,Missouri,Missouri,Fahrenheit,32,85,70,32,85,70,0,29.44444444,21.11111111,53,0.7169811321,,,,
12/14/2018 22:51:47,Slovakia,Slovakia,Celsius,-5,35,30,23,95,86,-5,35,30,72,0.875,,,,
12/14/2018 22:51:49,"Toronto, Canada","Toronto, Canada",Celsius,-20,35,25,-4,95,77,-20,35,25,99,0.8181818182,,,,
12/14/2018 22:52:28,New York,"Washington, DC",Fahrenheit,35,80,70,35,80,70,1.666666667,26.66666667,21.11111111,45,0.7777777778,,,,
12/14/2018 22:52:52,Minnesota,Minnesota,Fahrenheit,10,90,80,10,90,80,-12.22222222,32.22222222,26.66666667,80,0.875,,,,
12/14/2018 22:53:23,Germany,Germany,Celsius,10,27,15,50,80.6,59,10,27,15,30.6,0.2941176471,,,,
12/14/2018 22:53:25,Georgia,Georgia,Fahrenheit,45,80,65,45,80,65,7.222222222,26.66666667,18.33333333,35,0.5714285714,,,,
12/14/2018 22:53:59,Kansas,Southcentral Kansas,Fahrenheit,0,60,50,0,60,50,-17.77777778,15.55555556,10,60,0.8333333333,,,,
12/14/2018 22:54:09,Pennsylvania,Pennsylvania,Fahrenheit,74,84,78,74,84,78,23.33333333,28.88888889,25.55555556,10,0.4,,,,
12/14/2018 22:54:35,Virginia ,Virginia,Fahrenheit,30,80,60,30,80,60,-1.111111111,26.66666667,15.55555556,50,0.6,,,,
12/14/2018 22:54:49,Chicago,Chicago,Fahrenheit,40,80,70,40,80,70,4.444444444,26.66666667,21.11111111,40,0.75,,,,
12/14/2018 22:55:16,NY,NY,Fahrenheit,25,60,40,25,60,40,-3.888888889,15.55555556,4.444444444,35,0.4285714286,,,,
12/14/2018 22:55:33,St. Louis,Philadelphia,Fahrenheit,45,85,67,45,85,67,7.222222222,29.44444444,19.44444444,40,0.55,,,,
12/14/2018 22:56:25,Norway østafjells,Norway trøndelag,Celsius,-20,25,22,-4,77,71.6,-20,25,22,81,0.9333333333,,,,
12/14/2018 22:57:19,Czech Republic,Czech Republic,Celsius,-5,30,25,23,86,77,-5,30,25,63,0.8571428571,,,,
12/14/2018 22:58:09,North Carolina ,North Carolina ,Fahrenheit,55,76,68,55,76,68,12.77777778,24.44444444,20,21,0.619047619,,,,
12/14/2018 22:58:17,UK,UK,Celsius,18,30,24,64.4,86,75.2,18,30,24,21.6,0.5,,,,
12/14/2018 22:58:23,UK,UK,Celsius,18,30,24,64.4,86,75.2,18,30,24,21.6,0.5,,,,
12/14/2018 22:58:38,"Melbourne, Australia ","Melbourne, Australia ",Celsius,15,32,27,59,89.6,80.6,15,32,27,30.6,0.7058823529,,,,
12/14/2018 22:58:42,California,England,Celsius,8,18,14,46.4,64.4,57.2,8,18,14,18,0.6,,,,
12/14/2018 22:58:44,Chicago/Pittsburgh/Baltimore,Chicago,Fahrenheit,70,83,75,70,83,75,21.11111111,28.33333333,23.88888889,13,0.3846153846,,,,
12/14/2018 22:58:58,New York City ,New York city,Fahrenheit,30,65,45,30,65,45,-1.111111111,18.33333333,7.222222222,35,0.4285714286,,,,
12/14/2018 22:59:26,England,England,Celsius,10,36,30,50,96.8,86,10,36,30,46.8,0.7692307692,,,,
12/14/2018 23:00:05,"South Georgia, United States",South Georgia,Fahrenheit,40,95,70,40,95,70,4.444444444,35,21.11111111,55,0.5454545455,,,,
12/14/2018 23:00:09,"Queensland, Australia","Queensland, Australia ",Celsius,20,34,26,68,93.2,78.8,20,34,26,25.2,0.4285714286,,,,
12/14/2018 23:00:09,Minnesota,Minnesota ,Fahrenheit,20,90,60,20,90,60,-6.666666667,32.22222222,15.55555556,70,0.5714285714,,,,
12/14/2018 23:00:15,Northern Virginia ,Northern Virginia,Fahrenheit,60,90,80,60,90,80,15.55555556,32.22222222,26.66666667,30,0.6666666667,,,,
12/14/2018 23:00:32,Italy,Italy,Celsius,10,30,25,50,86,77,10,30,25,36,0.75,,,,
12/14/2018 23:00:53,Australia,Australia,Celsius,-5,18,12,23,64.4,53.6,-5,18,12,41.4,0.7391304348,,,,
12/14/2018 23:01:52,Southern California,Northern Oregon,Fahrenheit,45,75,68,45,75,68,7.222222222,23.88888889,20,30,0.7666666667,,,,
12/14/2018 23:02:19,Australia (Queensland),Australia (Canberra),Celsius,18,28,24,64.4,82.4,75.2,18,28,24,18,0.6,,,,
12/14/2018 23:02:20,southeast Mississippi,north Alabama,Fahrenheit,30,100,65,30,100,65,-1.111111111,37.77777778,18.33333333,70,0.5,,,,
12/14/2018 23:02:20,Winnipeg Canada,Winnipeg Canada,Celsius,-10,35,28,14,95,82.4,-10,35,28,81,0.8444444444,,,,
12/14/2018 23:05:03,Michigan,Chicago,Fahrenheit,20,85,65,20,85,65,-6.666666667,29.44444444,18.33333333,65,0.6923076923,,,,
12/14/2018 23:05:06,"Cincinnati, Ohio","Salem, Oregon",Fahrenheit,60,85,70,60,85,70,15.55555556,29.44444444,21.11111111,25,0.4,,,,
12/14/2018 23:05:44,"Northern Maine, US","Northern Maine, US",Fahrenheit,15,80,65,15,80,65,-9.444444444,26.66666667,18.33333333,65,0.7692307692,,,,
12/14/2018 23:05:56,"Billings, MT, USA","Billings, MT, USA",Fahrenheit,40,75,65,40,75,65,4.444444444,23.88888889,18.33333333,35,0.7142857143,,,,
12/14/2018 23:05:56,"Norrland, Sweden","Scania, Sweden",Celsius,-30,30,-5,-22,86,23,-30,30,-5,108,0.4166666667,,,,
12/14/2018 23:06:09,Florida,Florida,Fahrenheit,70,90,82,70,90,82,21.11111111,32.22222222,27.77777778,20,0.6,,,,
12/14/2018 23:06:35,NL,NL,Celsius,20,32,26,68,89.6,78.8,20,32,26,21.6,0.5,,,,
12/14/2018 23:07:31,Netherlands ,Netherlands ,Celsius,5,30,25,41,86,77,5,30,25,45,0.8,,,,
12/14/2018 23:08:21,Nova Scotia,Vancouver,Celsius,5,28,18,41,82.4,64.4,5,28,18,41.4,0.5652173913,,,,
12/14/2018 23:08:22,North of France ,North of France,Celsius,5,28,22,41,82.4,71.6,5,28,22,41.4,0.7391304348,,,,
12/14/2018 23:08:58,"Barcelona, Spain","Barcelona, Spain",Celsius,8,21,14,46.4,69.8,57.2,8,21,14,23.4,0.4615384615,,,,
12/14/2018 23:09:02,Phoenix ,Phoenix,Fahrenheit,60,103,928101010102837391739273619,60,103,928101010102837391739273619,15.55555556,39.44444444,5.15612E+26,43,2.15837E+25,,giant number,,
12/14/2018 23:09:35,Connecticut,Connecticut,Fahrenheit,40,80,60,40,80,60,4.444444444,26.66666667,15.55555556,40,0.5,,,,
12/14/2018 23:09:55,"Houston, TX, USA","College Station,TX, USA",Fahrenheit,45,76,54,45,76,54,7.222222222,24.44444444,12.22222222,31,0.2903225806,,,,
12/14/2018 23:10:16,Texas,Texas,Fahrenheit,20,85,50,20,85,50,-6.666666667,29.44444444,10,65,0.4615384615,,,,
12/14/2018 23:10:53,Southern California,Southern California ,Fahrenheit,60,75,70,60,75,70,15.55555556,23.88888889,21.11111111,15,0.6666666667,,,,
12/14/2018 23:11:05,US (Louisiana),Norway (Trondheim),Celsius,12,28,20,53.6,82.4,68,12,28,20,28.8,0.5,,,,
12/14/2018 23:11:07,"Long Island, NY",Greater Boston Area,Fahrenheit,40,85,60,40,85,60,4.444444444,29.44444444,15.55555556,45,0.4444444444,,,,
12/14/2018 23:13:22,Texas,Texas,Fahrenheit,55,85,65,55,85,65,12.77777778,29.44444444,18.33333333,30,0.3333333333,,,,
12/14/2018 23:13:26,Canada,"Calgary, Alberta",Celsius,0,27,20,32,80.6,68,0,27,20,48.6,0.7407407407,,,,
12/14/2018 23:14:24,NY,NYC,Fahrenheit,30,80,65,30,80,65,-1.111111111,26.66666667,18.33333333,50,0.7,,,,
12/14/2018 23:15:30,Chicago,Chicago,Fahrenheit,45,75,65,45,75,65,7.222222222,23.88888889,18.33333333,30,0.6666666667,,,,
12/14/2018 23:15:48,Texas,Texas,Fahrenheit,15,105,30,15,105,30,-9.444444444,40.55555556,-1.111111111,90,0.1666666667,,,,
12/14/2018 23:16:50,UK,UK,Celsius,-5,25,15,23,77,59,-5,25,15,54,0.6666666667,,,,
12/14/2018 23:17:32,Michigan,Michigan,Fahrenheit,30,70,65,30,70,65,-1.111111111,21.11111111,18.33333333,40,0.875,,,,
12/14/2018 23:18:21,"San Francisco, CA","San Francisco, CA",Fahrenheit,32,85,67,32,85,67,0,29.44444444,19.44444444,53,0.6603773585,,,,
12/14/2018 23:18:34,Arizona,Arizona,Fahrenheit,60,105,85,60,105,85,15.55555556,40.55555556,29.44444444,45,0.5555555556,,,,
12/14/2018 23:18:36,Romania,Romania,Celsius,18,25,23,64.4,77,73.4,18,25,23,12.6,0.7142857143,,,,
12/14/2018 23:20:08,"Ruukki, Finland","Oulu, Finland",Celsius,-25,+23,+17,-13,73.4,62.6,-25,23,17,86.4,0.875,,,,
12/14/2018 23:20:57,"California, US","Washington, US",Fahrenheit,20,82,65,20,82,65,-6.666666667,27.77777778,18.33333333,62,0.7258064516,,,,
12/14/2018 23:21:21,"Tucson, Arizona","Panama City Beach, Florida",Fahrenheit,70,90,80,70,90,80,21.11111111,32.22222222,26.66666667,20,0.5,,,,
12/14/2018 23:21:29,"Sacramento, California","Redding, California",Fahrenheit,55,100,75,55,100,75,12.77777778,37.77777778,23.88888889,45,0.4444444444,,,,
12/14/2018 23:22:30,Montreal,Montreal,Celsius,-25,25,23,-13,77,73.4,-25,25,23,90,0.96,,,,
12/14/2018 23:22:32,Australia ,Australia ,Celsius,15,35,25,59,95,77,15,35,25,36,0.5,,,,
12/14/2018 23:22:53,Southern California,San Francisco,Fahrenheit,60,85,70,60,85,70,15.55555556,29.44444444,21.11111111,25,0.4,,,,
12/14/2018 23:24:31,Ireland,Ireland,Celsius,-5,30,19,23,86,66.2,-5,30,19,63,0.6857142857,,,,
12/14/2018 23:24:46,"Christchurch, New Zealand","Dunedin, New Zealand",Celsius,13,22,19,55.4,71.6,66.2,13,22,19,16.2,0.6666666667,,,,
12/14/2018 23:26:14,New Jersey,New Jersey,Fahrenheit,40,70,60,40,70,60,4.444444444,21.11111111,15.55555556,30,0.6666666667,,,,
12/14/2018 23:26:27,West Virginia,West Virginia,Fahrenheit,40,75,50,40,75,50,4.444444444,23.88888889,10,35,0.2857142857,,,,
12/14/2018 23:26:29,Switzerland ,England ,Celsius,0,22,21,32,71.6,69.8,0,22,21,39.6,0.9545454545,,,,
12/14/2018 23:28:02,Illinois,Illinois,Fahrenheit,25,80,60,25,80,60,-3.888888889,26.66666667,15.55555556,55,0.6363636364,,,,
12/14/2018 23:28:51,"Tacoma, Washington, USA","Olympia, Washington, USA",Celsius,9,26,19,48.2,78.8,66.2,9,26,19,30.6,0.5882352941,,,,
12/14/2018 23:30:11,Pennsylvania,Pennsylvania ,Fahrenheit,45,85,75,45,85,75,7.222222222,29.44444444,23.88888889,40,0.75,,,,
12/14/2018 23:30:30,"Corvallis, Oregon","Eugene, Oregon",Fahrenheit,60,80,74,60,80,74,15.55555556,26.66666667,23.33333333,20,0.7,,,,
12/14/2018 23:30:45,"toronto, canada","toronto, canada",Celsius,-25,35,20,-13,95,68,-25,35,20,108,0.75,,,,
12/14/2018 23:31:34,"Miami, FL","Asheville, North Carolina",Celsius,-5,21,4,23,69.8,39.2,-5,21,4,46.8,0.3461538462,,,,
12/14/2018 23:31:45,"Milwaukee, Wisconsin","Milwaukee, Wisconsin",Fahrenheit,0,100,20,0,100,20,-17.77777778,37.77777778,-6.666666667,100,0.2,,,,
12/14/2018 23:32:24,"Santiago, Chile","Viña del Mar, Chile",Celsius,-5,28,15,23,82.4,59,-5,28,15,59.4,0.6060606061,,,,
12/14/2018 23:33:07,Portugal,Portugal,Celsius,5,35,25,41,95,77,5,35,25,54,0.6666666667,,,,
12/14/2018 23:33:19,Ontario,Ontario,Celsius,10,25,20,50,77,68,10,25,20,27,0.6666666667,,,,
12/14/2018 23:33:39,Pacific Northwest ,Pacific Northwest ,Fahrenheit,50,85,70,50,85,70,10,29.44444444,21.11111111,35,0.5714285714,,,,
12/14/2018 23:33:57,Ontario,Ontario,Celsius,10,25,20,50,77,68,10,25,20,27,0.6666666667,,,,
12/14/2018 23:34:55,Toronto Canada,Toronto Canada,Celsius,-35,15,-10,-31,59,14,-35,15,-10,90,0.5,,,,
12/14/2018 23:35:42,Cyprus,London,Celsius,5,22,13,41,71.6,55.4,5,22,13,30.6,0.4705882353,,,,
12/14/2018 23:36:56,Netherlands,Netherlands,Celsius,15,25,18,59,77,64.4,15,25,18,18,0.3,,,,
12/14/2018 23:37:36,Sweden,Sweden - North,Celsius,-25,30,-3,-13,86,26.6,-25,30,-3,99,0.4,,,,
12/14/2018 23:38:30,"Virginia, United States","Arizona, United States",Fahrenheit,75,82,78,75,82,78,23.88888889,27.77777778,25.55555556,7,0.4285714286,,,,
12/14/2018 23:38:30,Finland,Finland,Celsius,-25,25,18,-13,77,64.4,-25,25,18,90,0.86,,,,
12/14/2018 23:38:37,"Vienna, Austria","Vienna, Austria",Celsius,0,30,18,32,86,64.4,0,30,18,54,0.6,,,,
12/14/2018 23:38:48,USA,Same,Fahrenheit,45,95,70,45,95,70,7.222222222,35,21.11111111,50,0.5,,,,
12/14/2018 23:39:55,North Carolina,Louisiana,Fahrenheit,60,80,70,60,80,70,15.55555556,26.66666667,21.11111111,20,0.5,,,,
12/14/2018 23:41:26,Ohio,North Carolina,Fahrenheit,15,85,65,15,85,65,-9.444444444,29.44444444,18.33333333,70,0.7142857143,,,,
12/14/2018 23:41:43,Nashville ,Las Vegas ,Fahrenheit,65,100,80,65,100,80,18.33333333,37.77777778,26.66666667,35,0.4285714286,,,,
12/14/2018 23:42:24,midwest,midwest,Fahrenheit,32,80,60,32,80,60,0,26.66666667,15.55555556,48,0.5833333333,,,,
12/14/2018 23:42:26,Poland,Poland,Celsius,-10,20,10,14,68,50,-10,20,10,54,0.6666666667,,,,
12/14/2018 23:43:02,Portugal,"Toronto, Canada",Celsius,-25,35,18,-13,95,64.4,-25,35,18,108,0.7166666667,,,,
12/14/2018 23:45:10,Rhode Island,Ohio,Fahrenheit,45,75,65,45,75,65,7.222222222,23.88888889,18.33333333,30,0.6666666667,,,,
12/14/2018 23:46:55,Colorado/metro demver," Colorado, western slope",Fahrenheit,32,90,70,32,90,70,0,32.22222222,21.11111111,58,0.6551724138,,,,
12/14/2018 23:49:03,new york state ,new york state,Fahrenheit,-10,63,40,-10,63,40,-23.33333333,17.22222222,4.444444444,73,0.6849315068,,,,
12/14/2018 23:49:27,Northern California,Middle California,Fahrenheit,50,65,55,50,65,55,10,18.33333333,12.77777778,15,0.3333333333,,,,
12/14/2018 23:50:48,san diego,san diego,Fahrenheit,60,85,60,60,85,60,15.55555556,29.44444444,15.55555556,25,0,,,,
12/14/2018 23:51:11,Finland,Finland,Celsius,-20,30,12,-4,86,53.6,-20,30,12,90,0.64,,,,
12/14/2018 23:51:31,Central Texas,Central Texas,Fahrenheit,40,78,73,40,78,73,4.444444444,25.55555556,22.77777778,38,0.8684210526,,,,
12/14/2018 23:52:30,Montana,Colorado,Fahrenheit,50,90,70,50,90,70,10,32.22222222,21.11111111,40,0.5,,,,
12/14/2018 23:52:44,Midwest,nyc,Fahrenheit,20,85,65,20,85,65,-6.666666667,29.44444444,18.33333333,65,0.6923076923,,,,
12/14/2018 23:53:52,North Carolina,North Carolina,Fahrenheit,40,75,60,40,75,60,4.444444444,23.88888889,15.55555556,35,0.5714285714,,,,
12/14/2018 23:53:57,Iowa,Iowa,Fahrenheit,30,90,75,30,90,75,-1.111111111,32.22222222,23.88888889,60,0.75,,,,
12/14/2018 23:54:20,NC USA,NC USA,Fahrenheit,40,80,70,40,80,70,4.444444444,26.66666667,21.11111111,40,0.75,,,,
12/14/2018 23:54:24,Finland,Finland,Celsius,-10,25,20,14,77,68,-10,25,20,63,0.8571428571,,,,
12/14/2018 23:54:40,oregon,Oregon,Fahrenheit,40,75,65,40,75,65,4.444444444,23.88888889,18.33333333,35,0.7142857143,,,,
12/14/2018 23:54:41,Southern California,North Carolina,Fahrenheit,50,90,76,50,90,76,10,32.22222222,24.44444444,40,0.65,,,,
12/14/2018 23:54:51,US- NJ,NJ,Fahrenheit,40,85,70,40,85,70,4.444444444,29.44444444,21.11111111,45,0.6666666667,,,,
12/14/2018 23:56:44,Switzerland,Switzerland,Celsius,0,35,25,32,95,77,0,35,25,63,0.7142857143,,,,
12/14/2018 23:58:17,Canada ,Canada,Celsius,-10,30,25,14,86,77,-10,30,25,72,0.875,,,,
12/14/2018 23:58:20,Israel ,Israel ,Celsius,10,30,18,50,86,64.4,10,30,18,36,0.4,,,,
12/14/2018 23:59:16,South Carolina ,Colorado,Fahrenheit,40,80,72,40,80,72,4.444444444,26.66666667,22.22222222,40,0.8,,,,
12/15/2018 0:00:14,Michigan,Virginia,Fahrenheit,45,85,75,45,85,75,7.222222222,29.44444444,23.88888889,40,0.75,,,,
12/15/2018 0:01:15,Virginia,Virginia,Fahrenheit,60,90,65,60,90,65,15.55555556,32.22222222,18.33333333,30,0.1666666667,,,,
12/15/2018 0:01:42,"San Antonio, Texas","Austin, Texas",Fahrenheit,50,80,70,50,80,70,10,26.66666667,21.11111111,30,0.6666666667,,,,
12/15/2018 0:02:25,Germany,Germany,Celsius,-20,38,30,-4,100.4,86,-20,38,30,104.4,0.8620689655,,,,
12/15/2018 0:03:07,Rochester NY USA,Buffalo NY USA,Fahrenheit,40,95,78,40,95,78,4.444444444,35,25.55555556,55,0.6909090909,,,,
12/15/2018 0:03:41,American Midwest,American Midwest,Fahrenheit,55,95,75,55,95,75,12.77777778,35,23.88888889,40,0.5,,,,
12/15/2018 0:05:05,Central texas,North texas,Fahrenheit,50,75,55,50,75,55,10,23.88888889,12.77777778,25,0.2,,,,
12/15/2018 0:05:25,Norway,Norway,Celsius,5,20,15,41,68,59,5,20,15,27,0.6666666667,,,,
12/15/2018 0:05:53,kentucky,kentucky,Fahrenheit,67,75,70,67,75,70,19.44444444,23.88888889,21.11111111,8,0.375,,,,
12/15/2018 0:06:35,Russia,England,Celsius,3,20,12,37.4,68,53.6,3,20,12,30.6,0.5294117647,,,,
12/15/2018 0:06:42,Israel,Connecticut ,Celsius,20,30,25,68,86,77,20,30,25,18,0.5,,,,
12/15/2018 0:06:47,Chicago,Chicago,Fahrenheit,-10,85,70,-10,85,70,-23.33333333,29.44444444,21.11111111,95,0.8421052632,,,,
12/15/2018 0:07:02,"Monterey, California","Monterey, California",Fahrenheit,65,75,71,65,75,71,18.33333333,23.88888889,21.66666667,10,0.6,,,,
12/15/2018 0:08:43,"Greater Philadelphia Area, PA, USA","Rhode Island, USA",Fahrenheit,35,70,60,35,70,60,1.666666667,21.11111111,15.55555556,35,0.7142857143,,,,
12/15/2018 0:09:32,New Zealand (North Island),The same place,Celsius,12,28,24,53.6,82.4,75.2,12,28,24,28.8,0.75,,,,
12/15/2018 0:10:02,"florida, usa","florida, usa",Fahrenheit,63,85,73,63,85,73,17.22222222,29.44444444,22.77777778,22,0.4545454545,,,,
12/15/2018 0:10:53,Maryland,Ohio,Fahrenheit,25,80,65,25,80,65,-3.888888889,26.66666667,18.33333333,55,0.7272727273,,,,
12/15/2018 0:10:53,Maryland,Florida,Fahrenheit,66,82,74,66,82,74,18.88888889,27.77777778,23.33333333,16,0.5,,,,
12/15/2018 0:11:09,Missouri,Missouri,Fahrenheit,15,85,30,15,85,30,-9.444444444,29.44444444,-1.111111111,70,0.2142857143,,,,
