0:6.123233995736766e-17,0.0,1.0;90,0
2682:0.6835923020228714,0.0,0.7298640726978356;46.875,0.0
2683:0.6971550161189854,-0.031632513089819125,0.7162222194373472;45.74345422381447,-2.597940496984841
2684:0.7211957756642328,-0.0314676299518085,0.6920162147155815;43.789922400712854,-2.4983778226628077
2685:0.7700410358639239,-0.24925124253153713,0.5872909169926773;35.96499820875184,-17.936023597721547
2686:0.7767218088260581,-0.2781303207838576,0.565107738714172;34.409773211897964,-19.701546312811118
2687:0.8026809759805426,-0.27094118280701435,0.5313135856140511;32.09425154911993,-18.651868294519076
2688:0.9374122290768968,-0.17391293917211206,0.3016829500744131;17.55871307983086,-10.510272811930967
2689:0.9432549314089974,-0.19494168682942128,0.268826845959825;15.594469278847267,-11.67687381661478
2690:0.9561778902526109,-0.18129699069777117,0.22990268235929354;13.291342320679224,-10.73617322320957
2691:0.8801278602771012,0.41535491595508195,-0.2299026823592936;-13.291342320679227,25.26382677679043
2692:0.8776931181132059,0.3967202002772362,-0.268826845959825;-15.594469278847267,24.323126183385217
2693:0.8606058848863162,0.41029856023807826,-0.30168295007441315;-17.558713079830863,25.489727188069036
2694:0.8086377821223699,0.2526080186101678,-0.5313135856140511;-32.09425154911993,17.34813170548092
2695:0.7918620440140562,0.23153346819679418,-0.5651077387141721;-34.40977321189797,16.298453687188882
2696:0.769482488855615,0.2509702734637487,-0.5872909169926773;-35.96499820875184,18.063976402278456
2697:0.6019558475940564,0.39845039354735173,-0.6920162147155815;-43.789922400712854,33.5016221773372
2698:0.5826033804411439,0.38418619637200946,-0.7162222194373472;-45.74345422381447,33.40205950301516
2699:0.5530377895603947,0.40180547370970593,-0.7298640726978356;-46.875,36.0
2700:0.211241638548959,0.6501349133280565,0.7298640726978356;46.875,72.0
2701:0.24551705539537116,0.6532588368282719,0.7162222194373472;45.74345422381447,69.40205950301517
2702:0.2527892454697021,0.6761739095421954,0.6920162147155815;43.789922400712854,69.50162217733718
2703:0.47500778485232303,0.6553296751617382,0.5872909169926773;35.96499820875184,54.063976402278456
2704:0.5045378927896501,0.6527593418594135,0.565107738714172;34.409773211897964,52.29845368718889
2705:0.5057224400807842,0.6796695427490319,0.531313585614051;32.09425154911992,53.348131705480924
2706:0.45507734358734214,0.8377899551724688,0.3016829500744131;17.55871307983086,61.48972718806905
2707:0.47688236539004575,0.836848454901655,0.26882684595982503;15.59446927884727,60.32312618338523
2708:0.4678989021214573,0.8533553621074498,0.2299026823592936;13.291342320679227,61.263826776790424
2709:-0.12305153334582297,0.9654030644167458,-0.2299026823592936;-13.291342320679227,97.26382677679042
2710:-0.10608124227666521,0.957329043186475,-0.268826845959825;-15.594469278847267,96.32312618338523
2711:-0.12427527545198241,0.9452740626642271,-0.3016829500744131;-17.55871307983086,97.48972718806903
2712:0.00963831480187092,0.8471204026758654,-0.531313585614051;-32.09425154911992,89.34813170548092
2713:0.024497415131848246,0.8246533334057488,-0.565107738714172;-34.409773211897964,88.2984536871889
2714:-0.0009037480437587017,0.8093754147843717,-0.5872909169926772;-35.96499820875184,90.06397640227846
2715:-0.19293425643363793,0.6956219743978174,-0.6920162147155814;-43.78992240071285,105.5016221773372
2716:-0.1853484399936426,0.6728088050673561,-0.7162222194373472;-45.74345422381447,105.40205950301515
2717:-0.2112416385489589,0.6501349133280565,-0.7298640726978356;-46.875,108.0
2718:-0.5530377895603945,0.40180547370970604,0.7298640726978356;46.875,144.0
2719:-0.5454171310668552,0.43536867770091287,0.7162222194373472;45.74345422381447,141.40205950301515
2720:-0.5649634299735165,0.44936608835478226,0.6920162147155815;43.789922400712854,141.50162217733717
2721:-0.4764700799043908,0.6542672556179192,0.5872909169926773;35.96499820875184,126.06397640227846
2722:-0.46490024246980377,0.6815577805269872,0.565107738714172;34.409773211897964,124.29845368718888
2723:-0.49012731913708574,0.6910000613440159,0.531313585614051;32.09425154911992,125.34813170548092
2724:-0.6561589632299052,0.6916956069019486,0.30168295007441304;17.558713079830856,133.48972718806903
2725:-0.6485254209625023,0.7121424753914778,0.26882684595982503;15.59446927884727,132.32312618338523
2726:-0.6670004654427899,0.7086996089621493,0.2299026823592936;13.291342320679227,133.26382677679044
2727:-0.9561778902526109,0.18129699069777128,-0.2299026823592936;-13.291342320679227,169.26382677679044
2728:-0.9432549314089973,0.19494168682942145,-0.268826845959825;-15.594469278847267,168.32312618338523
2729:-0.9374122290768967,0.17391293917211217,-0.3016829500744131;-17.55871307983086,169.48972718806903
2730:-0.8026809759805426,0.27094118280701457,-0.5313135856140511;-32.09425154911993,161.3481317054809
2731:-0.776721808826058,0.27813032078385774,-0.5651077387141722;-34.409773211897985,160.2984536871889
2732:-0.7700410358639239,0.24925124253153727,-0.5872909169926773;-35.96499820875184,162.06397640227846
2733:-0.7211957756642328,0.03146762995180859,-0.6920162147155815;-43.789922400712854,177.5016221773372
2734:-0.6971550161189854,0.0316325130898192,-0.7162222194373472;-45.74345422381447,177.40205950301518
2735:-0.6835923020228714,8.3715912459408e-17,-0.7298640726978356;-46.875,180.0
2736:-0.5530377895603945,-0.40180547370970604,0.7298640726978356;46.875,-144.0
2737:-0.5826033804411439,-0.3841861963720095,0.7162222194373472;45.74345422381447,-146.59794049698485
2738:-0.6019558475940563,-0.39845039354735184,0.6920162147155814;43.78992240071285,-146.4983778226628
2739:-0.7694824888556148,-0.2509702734637488,0.5872909169926775;35.96499820875185,-161.93602359772154
2740:-0.7918620440140562,-0.2315334681967943,0.5651077387141722;34.409773211897985,-163.70154631281113
2741:-0.8086377821223699,-0.25260801861016785,0.5313135856140511;32.09425154911993,-162.65186829451906
2742:-0.860605884886316,-0.4102985602380783,0.30168295007441315;17.558713079830863,-154.51027281193097
2743:-0.8776931181132059,-0.3967202002772363,0.26882684595982503;15.59446927884727,-155.67687381661477
2744:-0.8801278602771012,-0.41535491595508206,0.2299026823592936;13.291342320679227,-154.73617322320956
2745:-0.4678989021214571,-0.8533553621074499,-0.2299026823592936;-13.291342320679227,-118.73617322320958
2746:-0.4768823653900456,-0.836848454901655,-0.268826845959825;-15.594469278847267,-119.67687381661479
2747:-0.455077343587342,-0.837789955172469,-0.3016829500744131;-17.55871307983086,-118.51027281193095
2748:-0.5057224400807839,-0.6796695427490319,-0.5313135856140511;-32.09425154911993,-126.65186829451909
2749:-0.50453789278965,-0.6527593418594135,-0.5651077387141721;-34.40977321189797,-127.70154631281112
2750:-0.47500778485232287,-0.6553296751617383,-0.5872909169926774;-35.964998208751844,-125.93602359772153
2751:-0.252789245469702,-0.6761739095421954,-0.6920162147155814;-43.78992240071285,-110.4983778226628
2752:-0.24551705539537103,-0.6532588368282719,-0.7162222194373472;-45.74345422381447,-110.59794049698483
2753:-0.2112416385489589,-0.6501349133280565,-0.7298640726978356;-46.875,-108.0
2754:0.211241638548959,-0.6501349133280565,0.7298640726978356;46.875,-72.0
2755:0.18534843999364273,-0.672808805067356,0.7162222194373472;45.74345422381447,-74.59794049698483
2756:0.19293425643363807,-0.6956219743978171,0.6920162147155815;43.789922400712854,-74.4983778226628
2757:0.0009037480437588175,-0.8093754147843717,0.5872909169926772;35.96499820875184,-89.93602359772154
2758:-0.02449741513184813,-0.8246533334057488,0.565107738714172;34.409773211897964,-91.70154631281112
2759:-0.00963831480187081,-0.8471204026758654,0.531313585614051;32.09425154911992,-90.65186829451908
2760:0.12427527545198253,-0.9452740626642271,0.3016829500744131;17.55871307983086,-82.51027281193096
2761:0.10608124227666532,-0.957329043186475,0.268826845959825;15.594469278847267,-83.67687381661479
2762:0.12305153334582308,-0.9654030644167458,0.2299026823592936;13.291342320679227,-82.73617322320958
2763:0.6670004654427899,-0.7086996089621492,-0.22990268235929356;-13.291342320679226,-46.73617322320958
2764:0.6485254209625025,-0.7121424753914777,-0.26882684595982503;-15.59446927884727,-47.67687381661478
2765:0.6561589632299053,-0.6916956069019486,-0.30168295007441315;-17.558713079830863,-46.51027281193097
2766:0.4901273191370859,-0.6910000613440158,-0.5313135856140511;-32.09425154911993,-54.65186829451908
2767:0.4649002424698038,-0.6815577805269871,-0.565107738714172;-34.409773211897964,-55.701546312811125
2768:0.47647007990439094,-0.6542672556179192,-0.5872909169926773;-35.96499820875184,-53.936023597721544
2769:0.5649634299735166,-0.4493660883547821,-0.6920162147155814;-43.78992240071285,-38.4983778226628
2770:0.5454171310668554,-0.4353686777009127,-0.7162222194373472;-45.74345422381447,-38.59794049698484
2771:0.5530377895603947,-0.40180547370970593,-0.7298640726978356;-46.875,-36.0
2772:0.22707626303437328,0.0,0.9738769792773335;76.87499999999999,0.0
2773:0.2374502286189431,-0.031245052326379107,0.970897077775978;76.14313886585713,-7.496237425382402
2774:0.2704280135152744,-0.03146863844890897,0.9622257605678382;74.2016344959517,-6.637431412491704
2775:0.3105531027116911,-0.24941888272229903,0.917249688655004;66.52726036447721,-38.769482544724255
2776:0.3202243133397436,-0.2787352894698395,0.9054076582127272;64.87824384745834,-41.03753756597255
2777:0.3545672843855324,-0.2816919733153158,0.8915894083114673;63.07365571036334,-38.46597915835763
2778:0.5749130899309541,-0.25105184510929907,0.7787476549520127;51.14605445569826,-23.589830643781152
2779:0.5854428323636218,-0.2827789139395996,0.7597978519745898;49.44638020558801,-25.781338212485924
2780:0.6148266056252478,-0.28009051827998876,0.7372499892064993;47.497680742494076,-24.492120386363307
2781:0.39247094599041077,-0.49781222903300937,0.7734012808229495;50.66031118180339,-51.74805314483833
2782:0.4003813038720496,-0.5224541971372618,0.7528189844865608;48.835160642824185,-52.53535083605877
2783:0.4334199011151447,-0.5226797551997019,0.7341342267063414;47.23410993516187,-50.33357793275129
2784:0.4492971734395629,-0.6780263912991465,0.5817321227515944;35.57246336894847,-56.4693790246526
2785:0.45509806927457175,-0.6964175148809253,0.5548769163604063;33.70223750535473,-56.836005324340476
2786:0.47926739916455463,-0.7025403864342942,0.5260606101266241;31.739670482703612,-55.6985061834515
2787:0.6421246014302178,-0.6860672645700681,0.3420346542726749;20.000884776934857,-46.89491532019043
2788:0.6374055146291852,-0.7081081033068357,0.30380441726791857;17.686249244562557,-48.00794995210944
2789:0.6565177202576711,-0.7039168127932199,0.27108228207447516;15.728679084845963,-46.99544321600869
2790:0.8350588780514864,-0.42845552246865004,0.34511235192833795;20.18865429504321,-27.161643013837004
2791:0.8350695271213411,-0.4543299764374357,0.3102308130790669;18.07314090454885,-28.54895188131189
2792:0.8547002347293796,-0.4426560839308883,0.27118831116497966;15.734990522842361,-27.38000015592697
2793:0.7959036554108782,-0.6041421889419333,0.039364791934564755;2.256019344926707,-37.200841906762186
2794:0.785316930880745,-0.619093949309834,0.0;0.0,-38.25
2795:0.7963168598719224,-0.6039647185729607,-0.033257741998001744;-1.905879704535234,-37.1784161495583
2796:0.8624329396961609,-0.45091578196468385,-0.22996604554197933;-13.295072715300714,-27.60243845281665
2797:0.8457065347455641,-0.4641486338890991,-0.26333724147475424;-15.268174798276279,-28.759275912931564
2798:0.8483526441264906,-0.44073425359073415,-0.2933446930070673;-17.058304431523215,-27.45267740236742
2799:0.9453888007620174,0.14208767180281429,0.2933446930070672;17.05830443152321,8.547322597632576
2800:0.9570106807348192,0.12158969615861766,0.2633372414747541;15.268174798276272,7.240724087068427
2801:0.9627645513877079,0.1421268324033495,0.22996604554197933;13.295072715300714,8.39756154718335
2802:0.999235427025839,-0.020554414943839923,0.033257741998001744;1.905879704535234,-1.178416149558308
2803:0.9992290362407229,-0.0392598157590686,0.0;0.0,-2.25
2804:0.9990054520603038,-0.020940866976719832,-0.03936479193456476;-2.256019344926707,-1.2008419067621814
2805:0.9516537329644401,0.14426389854129265,-0.2711883111649797;-15.734990522842368,8.619999844073028
2806:0.9426338987501275,0.12328088068891879,-0.3102308130790669;-18.07314090454885,7.451048118688112
2807:0.9274166610176681,0.14420749430362742,-0.3451123519283381;-20.188654295043218,8.838356986162992
2808:0.9448859141973299,-0.18358923033982882,-0.27108228207447516;-15.728679084845963,-10.995443216008685
2809:0.9318873937958729,-0.1982139282009117,-0.30380441726791857;-17.686249244562557,-12.007949952109438
2810:0.9227499352582101,-0.17760870546665397,-0.3420346542726749;-20.000884776934857,-10.894915320190423
2811:0.8006783490599393,-0.2866608027265916,-0.5260606101266243;-31.739670482703627,-19.6985061834515
2812:0.7775260168355375,-0.2959136712526649,-0.5548769163604063;-33.70223750535473,-20.836005324340483
2813:0.7620229623079585,-0.28444462075125904,-0.5817321227515945;-35.57246336894847,-20.469379024652604
2814:0.6578675174806863,-0.1680989786467521,-0.7341342267063414;-47.23410993516187,-14.333577932751293
2815:0.631006151138075,-0.1873360985569419,-0.7528189844865608;-48.835160642824185,-16.53535083605877
2816:0.6101223517411002,-0.17204991928893903,-0.7734012808229495;-50.66031118180339,-15.748053144838341
2817:0.6620382484966219,0.1347880222517633,-0.7372499892064993;-47.497680742494076,11.507879613636685
2818:0.6398464758901526,0.11534171589564471,-0.7597978519745898;-49.44638020558801,10.218661787514074
2819:0.6126790321588146,0.13482022644870115,-0.7787476549520127;-51.14605445569826,12.410169356218846
2820:0.45242534632117815,-0.019484172883897435,-0.8915894083114673;-63.07365571036334,-2.4659791583576323
2821:0.4229034039477459,-0.03727845730653532,-0.9054076582127271;-64.87824384745832,-5.037537565972545
2822:0.39784747865706005,-0.019245581012750226,-0.917249688655004;-66.52726036447721,-2.7694825447242586
2823:0.2372776602789075,0.1334949348560196,-0.9622257605678382;-74.2016344959517,29.36256858750829
2824:0.21046665123549374,0.11429196421351567,-0.970897077775978;-76.14313886585713,28.503762574617593
2825:0.18370855581396367,0.13347207855729104,-0.9738769792773336;-76.875,35.999999999999986
2826:0.07017042429677704,0.21596235965479296,0.9738769792773336;76.875,71.99999999999999
2827:0.10309196657845583,0.21617333506483408,0.970897077775978;76.14313886585713,64.50376257461758
2828:0.11349530558704887,0.24746798037190174,0.9622257605678382;74.2016344959517,65.36256858750829
2829:0.3331776400938804,0.21827887851042954,0.917249688655004;66.52726036447721,33.23051745527573
2830:0.36404776820573576,0.21841747849970344,0.9054076582127271;64.87824384745832,30.962462434027444
2831:0.37747230333407616,0.2501659193464907,0.8915894083114673;63.07365571036334,33.53402084164236
2832:0.4164224082963978,0.46919555387425504,0.7787476549520128;51.146054455698284,48.41016935621884
2833:0.44985051320848535,0.46940573057948676,0.7597978519745899;49.446380205588014,46.21866178751407
2834:0.45637378229473546,0.4981821195597189,0.7372499892064993;47.497680742494076,47.507879613636675
2835:0.5947277564227081,0.21942961186182988,0.7734012808229493;50.66031118180339,20.25194685516166
2836:0.620608095779609,0.21933802235232983,0.7528189844865608;48.835160642824185,19.46464916394123
2837:0.6310321022631212,0.25068989427511423,0.7341342267063413;47.234109935161854,21.666422067248703
2838:0.7836818797825941,0.21778532700653574,0.5817321227515944;35.57246336894847,15.530620975347398
2839:0.802965453102651,0.21761913705835084,0.5548769163604063;33.70223750535473,15.163994675659515
2840:0.8162573836705797,0.2387134643803404,0.5260606101266242;31.739670482703623,16.3014938165485
2841:0.8509161569343313,0.3986903424271526,0.3420346542726749;20.000884776934857,25.10508467980958
2842:0.8704199622200951,0.38739123043412926,0.3038044172679184;17.68624924456255,23.99205004789057
2843:0.8723398044046257,0.40686319813494354,0.2710822820744751;15.72867908484596,25.00455678399132
2844:0.6655328012080404,0.661788149684376,0.345112351928338;20.188654295043214,44.83835698616299
2845:0.6901441600041922,0.6538026315551269,0.3102308130790669;18.07314090454885,43.451048118688114
2846:0.6851078507278007,0.6760799751202662,0.2711883111649797;15.734990522842368,44.61999984407303
2847:0.820521120969147,0.5702591544197103,0.03936479193456475;2.256019344926706,34.799158093237814
2848:0.8314696123025452,0.5555702330196022,0.0;0.0,33.75
2849:0.8204800238189004,0.5707069765749591,-0.03325774199800175;-1.9058797045352345,34.8215838504417
2850:0.6953528276126951,0.6808818275066635,-0.22996604554197939;-13.295072715300718,44.397561547183365
2851:0.7027692742800475,0.6608848949555151,-0.26333724147475424;-15.268174798276279,43.24072408706843
2852:0.6813185680899558,0.6706369359500278,-0.2933446930070673;-17.058304431523215,44.54732259763258
2853:0.15700779957394093,0.9430256846754168,0.2933446930070673;17.058304431523215,80.54732259763259
2854:0.18009389129939507,0.9477445265308097,0.26333724147475424;15.268174798276279,79.24072408706843
2855:0.16233995786297942,0.9595631068245748,0.22996604554197933;13.295072715300714,80.39756154718336
2856:0.32832913860346535,0.9439777006588136,0.03325774199800175;1.9058797045352345,70.8215838504417
2857:0.346117057077493,0.938191335922484,0.0;0.0,69.75
2858:0.32862561015494013,0.9436395612235858,-0.03936479193456475;-2.256019344926706,70.7991580932378
2859:0.1568740554725309,0.9496564803164813,-0.27118831116497966;-15.734990522842361,80.61999984407302
2860:0.17404280927390137,0.934593999101401,-0.3102308130790669;-18.07314090454885,79.45104811868812
2861:0.1494380319648682,0.9265882252375961,-0.345112351928338;-20.188654295043214,80.83835698616299
2862:0.46658953906878947,0.8419077136936503,-0.2710822820744751;-15.72867908484596,61.00455678399132
2863:0.47648168956264036,0.8250261059869756,-0.30380441726791846;-17.686249244562553,59.99205004789058
2864:0.4540613282379773,0.8227032305001212,-0.3420346542726749;-20.000884776934857,61.105084679809586
2865:0.5200538412871218,0.6729073016662198,-0.5260606101266241;-31.739670482703612,52.301493816548515
2866:0.5216993780765115,0.6480288316154985,-0.5548769163604061;-33.70223750535472,51.16399467565952
2867:0.5060009555476879,0.6368286820988442,-0.5817321227515944;-35.57246336894847,51.53062097534739
2868:0.3631638719733433,0.5737237482200046,-0.7341342267063414;-47.23410993516187,57.6664220672487
2869:0.37315884152668244,0.5422324737481957,-0.7528189844865607;-48.83516064282418,55.46464916394123
2870:0.3521673722038099,0.5270944894195769,-0.7734012808229493;-50.66031118180339,56.25194685516167
2871:0.07639004283060502,0.6712875797833259,-0.7372499892064993;-47.497680742494076,83.50787961363667
2872:0.0880269443377601,0.6441727106959408,-0.7597978519745898;-49.44638020558801,82.21866178751408
2873:0.06110657814184325,0.6243541270901761,-0.7787476549520127;-51.14605445569826,84.41016935621883
2874:0.15833767028506726,0.4242611332133842,-0.8915894083114674;-63.07365571036335,69.53402084164236
2875:0.16613825853767789,0.3906853612561049,-0.9054076582127272;-64.87824384745834,66.96246243402744
2876:0.14124526730631817,0.37242822546883425,-0.9172496886550041;-66.52726036447721,69.23051745527573
2877:-0.05363839827550656,0.26691666851300927,-0.9622257605678382;-74.2016344959517,101.36256858750826
2878:-0.04366034534448393,0.23548383938280534,-0.970897077775978;-76.14313886585713,100.50376257461758
2879:-0.07017042429677692,0.21596235965479296,-0.9738769792773336;-76.875,108.0
2880:-0.18370855581396353,0.13347207855729107,0.9738769792773336;76.875,144.0
2881:-0.17373588930638903,0.16484752085786608,0.970897077775978;76.14313886585713,136.50376257461758
2882:-0.2002840570989222,0.18441226144603612,0.9622257605678382;74.2016344959517,137.36256858750826
2883:-0.10463799684219324,0.38432264866795357,0.9172496886550041;66.52726036447721,105.23051745527574
2884:-0.0952304190600555,0.41372471491970564,0.9054076582127272;64.87824384745834,102.96246243402744
2885:-0.12127657111336307,0.436303014298312,0.8915894083114674;63.07365571036335,105.53402084164235
2886:-0.31754988792669386,0.5410306447739213,0.7787476549520127;51.14605445569826,120.41016935621884
2887:-0.30741992534419427,0.5728876099516985,0.7597978519745898;49.44638020558801,118.21866178751407
2888:-0.3327720965927562,0.587984000755359,0.7372499892064993;47.497680742494076,119.50787961363669
2889:-0.024908978468208512,0.6334271873018174,0.7734012808229495;50.66031118180339,92.25194685516166
2890:-0.016824406986901016,0.658012549976186,0.7528189844865607;48.83516064282418,91.46464916394123
2891:-0.043420613924236275,0.6776146304978402,0.7341342267063414;47.23410993516187,93.6664220672487
2892:0.03504486463348941,0.8126251256401961,0.5817321227515942;35.572463368948455,87.53062097534739
2893:0.04116187253482632,0.830913538185408,0.5548769163604061;33.70223750535472,87.16399467565952
2894:0.025207407511927037,0.850073420993582,0.5260606101266241;31.739670482703612,88.30149381654851
2895:-0.11622949486836141,0.9324714471763826,0.3420346542726748;20.000884776934853,97.10508467980956
2896:-0.09945639349076685,0.9475290506587701,0.3038044172679184;17.68624924456255,95.99205004789056
2897:-0.11738207139617714,0.9553720980120979,0.2710822820744751;15.72867908484596,97.00455678399132
2898:-0.42373698627699025,0.8374630923254975,0.34511235192833795;20.18865429504321,116.83835698616298
2899:-0.4085369791015044,0.8584022246726286,0.3102308130790668;18.073140904548847,115.45104811868812
2900:-0.43128029702020926,0.8604964876683963,0.27118831116497966;15.734990522842361,116.61999984407302
2901:-0.28879371416478117,0.9565817287690891,0.039364791934564755;2.256019344926707,106.7991580932378
2902:-0.2714404498650741,0.9624552364536473,0.0;0.0,105.75
2903:-0.2892323180615183,0.9566810277129755,-0.03325774199800175;-1.9058797045352345,106.82158385044168
2904:-0.43268125805816865,0.871723893685945,-0.22996604554197936;-13.295072715300716,116.39756154718334
2905:-0.41137123699139716,0.8725979616230115,-0.2633372414747542;-15.268174798276277,115.24072408706841
2906:-0.42727461188048815,0.8552106741189377,-0.2933446930070673;-17.058304431523215,116.54732259763256
2907:-0.8483526441264906,0.44073425359073426,0.2933446930070673;17.058304431523215,152.5473225976326
2908:-0.845706534745564,0.4641486338890993,0.2633372414747542;15.268174798276277,151.24072408706843
2909:-0.8624329396961609,0.45091578196468407,0.22996604554197939;13.295072715300718,152.39756154718336
2910:-0.7963168598719221,0.6039647185729609,0.03325774199800175;1.9058797045352345,142.8215838504417
2911:-0.7853169308807448,0.6190939493098341,0.0;0.0,141.74999999999997
2912:-0.7959036554108782,0.6041421889419334,-0.03936479193456475;-2.256019344926706,142.79915809323782
2913:-0.8547002347293795,0.44265608393088846,-0.2711883111649797;-15.734990522842368,152.61999984407302
2914:-0.835069527121341,0.45432997643743583,-0.3102308130790669;-18.07314090454885,151.4510481186881
2915:-0.8350588780514863,0.4284555224686502,-0.34511235192833806;-20.188654295043218,152.83835698616298
2916:-0.656517720257671,0.7039168127932202,-0.2710822820744751;-15.72867908484596,133.00455678399132
2917:-0.637405514629185,0.7081081033068357,-0.3038044172679184;-17.68624924456255,131.99205004789056
2918:-0.6421246014302177,0.6860672645700682,-0.3420346542726749;-20.000884776934857,133.10508467980958
2919:-0.47926739916455446,0.7025403864342943,-0.5260606101266241;-31.739670482703612,124.3014938165485
2920:-0.4550980692745716,0.6964175148809255,-0.5548769163604061;-33.70223750535472,123.1639946756595
2921:-0.44929717343956277,0.6780263912991467,-0.5817321227515944;-35.57246336894847,123.53062097534739
2922:-0.4334199011151445,0.522679755199702,-0.7341342267063414;-47.23410993516187,129.6664220672487
2923:-0.4003813038720494,0.5224541971372619,-0.7528189844865608;-48.835160642824185,127.46464916394123
2924:-0.39247094599041055,0.4978122290330094,-0.7734012808229495;-50.66031118180339,128.25194685516166
2925:-0.6148266056252477,0.2800905182799889,-0.7372499892064993;-47.497680742494076,155.5078796136367
2926:-0.5854428323636218,0.2827789139395997,-0.7597978519745899;-49.446380205588014,154.21866178751407
2927:-0.574913089930954,0.2510518451092991,-0.7787476549520128;-51.146054455698284,156.41016935621883
2928:-0.35456728438553226,0.28169197331531587,-0.8915894083114674;-63.07365571036335,141.53402084164233
2929:-0.32022431333974344,0.2787352894698395,-0.9054076582127272;-64.87824384745834,138.96246243402746
2930:-0.31055310271169095,0.2494188827222991,-0.9172496886550042;-66.52726036447723,141.23051745527573
2931:-0.2704280135152742,0.031468638448909,-0.9622257605678382;-74.2016344959517,173.36256858750832
2932:-0.23745022861894294,0.031245052326379138,-0.970897077775978;-76.14313886585713,172.5037625746176
2933:-0.22707626303437314,2.7808821868738754e-17,-0.9738769792773336;-76.875,180.0
2934:-0.18370855581396353,-0.13347207855729107,0.9738769792773336;76.875,-144.0
2935:-0.21046665123549355,-0.11429196421351567,0.970897077775978;76.14313886585713,-151.4962374253824
2936:-0.23727766027890734,-0.1334949348560196,0.9622257605678382;74.2016344959517,-150.63743141249168
2937:-0.3978474786570598,0.01924558101275023,0.9172496886550041;66.52726036447721,177.23051745527576
2938:-0.4229034039477457,0.03727845730653533,0.9054076582127272;64.87824384745834,174.9624624340275
2939:-0.45242534632117803,0.01948417288389744,0.8915894083114674;63.07365571036335,177.53402084164236
2940:-0.6126790321588145,-0.1348202264487012,0.7787476549520129;51.146054455698284,-167.58983064378114
2941:-0.6398464758901524,-0.11534171589564472,0.75979785197459;49.44638020558803,-169.78133821248593
2942:-0.6620382484966216,-0.13478802225176334,0.7372499892064995;47.49768074249409,-168.49212038636333
2943:-0.6101223517411,0.1720499192889391,0.7734012808229497;50.66031118180341,164.25194685516166
2944:-0.6310061511380749,0.18733609855694192,0.7528189844865609;48.83516064282419,163.4646491639412
2945:-0.6578675174806861,0.16809897864675216,0.7341342267063415;47.234109935161875,165.66642206724873
2946:-0.7620229623079585,0.28444462075125915,0.5817321227515945;35.57246336894847,159.5306209753474
2947:-0.7775260168355373,0.29591367125266504,0.5548769163604064;33.70223750535473,159.16399467565952
2948:-0.8006783490599392,0.28666080272659167,0.5260606101266243;31.739670482703627,160.3014938165485
2949:-0.9227499352582101,0.17760870546665405,0.342034654272675;20.000884776934864,169.10508467980958
2950:-0.9318873937958729,0.1982139282009118,0.3038044172679186;17.686249244562564,167.99205004789056
2951:-0.9448859141973299,0.18358923033982893,0.27108228207447527;15.728679084845968,169.00455678399132
2952:-0.927416661017668,-0.14420749430362745,0.3451123519283381;20.188654295043218,-171.16164301383702
2953:-0.9426338987501274,-0.1232808806889188,0.31023081307906697;18.073140904548854,-172.5489518813119
2954:-0.95165373296444,-0.14426389854129262,0.2711883111649797;15.734990522842368,-171.38000015592698
2955:-0.9990054520603038,0.020940866976719895,0.039364791934564776;2.256019344926708,178.79915809323782
2956:-0.9992290362407229,0.039259815759068666,0.0;0.0,177.75000000000003
2957:-0.999235427025839,0.02055441494383999,-0.03325774199800175;-1.9058797045352345,178.8215838504417
2958:-0.9627645513877079,-0.14212683240334945,-0.22996604554197936;-13.295072715300716,-171.60243845281664
2959:-0.9570106807348191,-0.1215896961586176,-0.26333724147475424;-15.268174798276279,-172.75927591293157
2960:-0.9453888007620174,-0.14208767180281423,-0.2933446930070673;-17.058304431523215,-171.45267740236744
2961:-0.6813185680899558,-0.6706369359500279,0.2933446930070673;17.058304431523215,-135.4526774023674
2962:-0.7027692742800474,-0.6608848949555153,0.26333724147475424;15.268174798276279,-136.75927591293157
2963:-0.6953528276126951,-0.6808818275066635,0.22996604554197939;13.295072715300718,-135.60243845281664
2964:-0.8204800238189004,-0.5707069765749591,0.03325774199800175;1.9058797045352345,-145.1784161495583
2965:-0.8314696123025451,-0.5555702330196023,0.0;0.0,-146.24999999999997
2966:-0.8205211209691469,-0.5702591544197103,-0.03936479193456477;-2.2560193449267074,-145.20084190676218
2967:-0.6851078507278007,-0.6760799751202662,-0.2711883111649797;-15.734990522842368,-135.38000015592698
2968:-0.6901441600041921,-0.653802631555127,-0.3102308130790669;-18.07314090454885,-136.5489518813119
2969:-0.6655328012080401,-0.6617881496843762,-0.34511235192833806;-20.188654295043218,-135.16164301383702
2970:-0.8723398044046256,-0.40686319813494354,-0.27108228207447516;-15.728679084845963,-154.99544321600868
2971:-0.8704199622200951,-0.38739123043412926,-0.30380441726791857;-17.686249244562557,-156.00794995210944
2972:-0.8509161569343313,-0.3986903424271527,-0.3420346542726749;-20.000884776934857,-154.89491532019042
2973:-0.8162573836705795,-0.23871346438034036,-0.5260606101266243;-31.739670482703627,-163.6985061834515
2974:-0.8029654531026509,-0.2176191370583508,-0.5548769163604064;-33.70223750535473,-164.8360053243405
2975:-0.7836818797825941,-0.2177853270065357,-0.5817321227515945;-35.57246336894847,-164.4693790246526
2976:-0.6310321022631211,-0.2506898942751142,-0.7341342267063414;-47.23410993516187,-158.3335779327513
