Rank,Abbreviation,Constellation,Area (square degrees),Area (millisteradians),Percentage,RA,Dec,Quad
38,CVn ,Canes Venatici ,465.194,141.706,1.13%,13 06.96 ,+40 06.11 ,NQ3
39,Ari ,Aries ,441.395,134.457,1.07%,02 38.16 ,+20 47.54 ,NQ1
40,Cap ,Capricornus ,413.947,126.095,1.00%,21 02.93 ,−18 01.39 ,SQ4
41,For ,Fornax ,397.502,121.086,0.96%,02 47.88 ,−31 38.07 ,SQ1
42,Com ,Coma Berenices ,386.475,117.727,0.94%,12 47.27 ,+23 18.34 ,NQ3
43,CMa ,Canis Major ,380.118,115.791,0.92%,06 49.74 ,−22 08.42 ,SQ2
44,Pav ,Pavo ,377.666,115.044,0.92%,19 36.71 ,−65 46.89 ,SQ4
45,Gru ,Grus ,365.513,111.342,0.89%,22 27.39 ,−46 21.11 ,SQ4
46,Lup ,Lupus ,333.683,101.646,0.81%,15 13.21 ,−42 42.53 ,SQ3
47,Sex ,Sextans ,313.515,95.502,0.76%,10 16.29 ,−02 36.88 ,SQ2
48,Tuc ,Tucana ,294.557,89.727,0.71%,23 46.64 ,−65 49.80 ,SQ4
49,Ind ,Indus ,294.006,89.559,0.71%,21 58.33 ,−59 42.40 ,SQ4
50,Oct ,Octans ,291.045,88.657,0.71%,23 00.00 ,−82 09.12 ,SQ4
51,Lep ,Lepus ,290.291,88.428,0.70%,05 33.95 ,−19 02.78 ,SQ1
52,Lyr ,Lyra ,286.476,87.266,0.69%,18 51.17 ,+36 41.36 ,NQ4
53,Crt ,Crater ,282.398,86.023,0.68%,11 23.75 ,−15 55.74 ,SQ2
54,Col ,Columba ,270.184,82.303,0.65%,05 51.76 ,−35 05.67 ,SQ1
55,Vul ,Vulpecula ,268.165,81.688,0.65%,20 13.88 ,+24 26.56 ,NQ4
56,UMi ,Ursa Minor ,255.864,77.941,0.62%,15 00.00 ,+77 41.99 ,NQ3
57,Tel ,Telescopium ,251.512,76.615,0.61%,19 19.54 ,−51 02.21 ,SQ4
58,Hor ,Horologium ,248.885,75.815,0.60%,03 16.56 ,−53 20.18 ,SQ1
59,Pic ,Pictor ,246.739,75.161,0.60%,05 42.46 ,−53 28.45 ,SQ1
60,PsA ,Piscis Austrinus ,245.375,74.745,0.59%,22 17.07 ,−30 38.53 ,SQ4
61,Hyi ,Hydrus ,243.035,74.033,0.59%,02 20.65 ,−69 57.39 ,SQ1
62,Ant ,Antlia ,238.901,72.773,0.58%,10 16.43 ,−32 29.01 ,SQ2
63,Ara ,Ara ,237.057,72.212,0.57%,17 22.49 ,−56 35.30 ,SQ3
64,LMi ,Leo Minor ,231.956,70.658,0.56%,10 14.72 ,+32 08.08 ,NQ2
65,Pyx ,Pyxis ,220.833,67.27,0.54%,08 57.16 ,−27 21.10 ,SQ2
66,Mic ,Microscopium ,209.513,63.821,0.51%,20 57.88 ,−36 16.49 ,SQ4
67,Aps ,Apus ,206.327,62.851,0.50%,16 08.65 ,−75 18.00 ,SQ3
68,Lac ,Lacerta ,200.688,61.133,0.49%,22 27.68 ,+46 02.51 ,NQ4
69,Del ,Delphinus ,188.549,57.435,0.46%,20 41.61 ,+11 40.26 ,NQ4
70,Crv ,Corvus ,183.801,55.989,0.45%,12 26.52 ,−18 26.20 ,SQ3
71,CMi ,Canis Minor ,183.367,55.857,0.44%,07 39.17 ,+06 25.63 ,NQ2
72,Dor ,Dorado ,179.173,54.579,0.43%,05 14.51 ,−59 23.22 ,SQ1
73,CrB ,Corona Borealis ,178.71,54.438,0.43%,15 50.59 ,+32 37.49 ,NQ3
74,Nor ,Norma ,165.29,50.35,0.40%,15 54.18 ,−51 21.09 ,SQ3
75,Men ,Mensa ,153.484,46.754,0.37%,05 24.90 ,−77 30.24 ,SQ1
76,Vol ,Volans ,141.354,43.059,0.34%,07 47.73 ,−69 48.07 ,SQ2
77,Mus ,Musca ,138.355,42.145,0.34%,12 35.28 ,−70 09.66 ,SQ3
78,Tri ,Triangulum ,131.847,40.163,0.32%,02 11.07 ,+31 28.56 ,NQ1
79,Cha ,Chamaeleon ,131.592,40.085,0.32%,10 41.53 ,−79 12.30 ,SQ2
80,CrA ,Corona Australis ,127.696,38.898,0.31%,18 38.79 ,−41 08.85 ,SQ4
81,Cae ,Caelum ,124.865,38.036,0.30%,04 42.27 ,−37 52.90 ,SQ1
82,Ret ,Reticulum ,113.936,34.707,0.28%,03 55.27 ,−59 59.85 ,SQ1
83,TrA ,Triangulum Australe ,109.978,33.501,0.27%,16 04.95 ,−65 23.28 ,SQ3
84,Sct ,Scutum ,109.114,33.238,0.26%,18 40.39 ,−09 53.32 ,SQ4
85,Cir ,Circinus ,93.353,28.437,0.23%,14 34.54 ,−63 01.82 ,SQ3
86,Sge ,Sagitta ,79.932,24.349,0.19%,19 39.05 ,+18 51.68 ,NQ4
87,Equ ,Equuleus ,71.641,21.823,0.17%,21 11.26 ,+07 45.49 ,NQ4
88,Cru ,Crux ,68.447,20.85,0.17%,12 26.99 ,−60 11.19 ,SQ3 
